group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,1154626.0,ns,4
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,2258925.0,ns,8
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,3387361.0,ns,12
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,5025663.0,ns,16
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,5645094.0,ns,20
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,6767569.0,ns,24
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,8073417.0,ns,28
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,9228354.0,ns,32
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,10371272.0,ns,36
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,11554823.0,ns,40
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,12468638.0,ns,44
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,13618960.0,ns,48
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,14566272.0,ns,52
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,15682149.0,ns,56
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,16739746.0,ns,60
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,17974597.0,ns,64
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,18939951.0,ns,68
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,20708449.0,ns,72
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,21263433.0,ns,76
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,22236077.0,ns,80
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,23665162.0,ns,84
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,24431747.0,ns,88
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,25874074.0,ns,92
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,26719156.0,ns,96
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,28013718.0,ns,100
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,29066419.0,ns,104
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,30157433.0,ns,108
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,31100693.0,ns,112
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,33475067.0,ns,116
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,33787402.0,ns,120
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,36199661.0,ns,124
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,35660154.0,ns,128
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,36702249.0,ns,132
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,37873081.0,ns,136
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,38676888.0,ns,140
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,40063064.0,ns,144
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,40659353.0,ns,148
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,43020629.0,ns,152
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,43352665.0,ns,156
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,44497653.0,ns,160
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,45747004.0,ns,164
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,47204144.0,ns,168
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,49582296.0,ns,172
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,59726035.0,ns,176
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,64731768.0,ns,180
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,63543595.0,ns,184
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,55665909.0,ns,188
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,62757899.0,ns,192
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,69373238.0,ns,196
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,71560912.0,ns,200
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,62970734.0,ns,204
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,67828045.0,ns,208
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,72104459.0,ns,212
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,68892304.0,ns,216
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,67514705.0,ns,220
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,74345326.0,ns,224
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,77268520.0,ns,228
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,76254706.0,ns,232
longest_consecutive,AHASHMAP_AND_REDUCED - O(n),0,,,68627286.0,ns,236
