group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
longest_consecutive,HASHMAP-EON,0,,,1650556.0,ns,2
longest_consecutive,HASHMAP-EON,0,,,3055935.0,ns,4
longest_consecutive,HASHMAP-EON,0,,,5294013.0,ns,6
longest_consecutive,HASHMAP-EON,0,,,6391029.0,ns,8
longest_consecutive,HASHMAP-EON,0,,,7934706.0,ns,10
longest_consecutive,HASHMAP-EON,0,,,9449969.0,ns,12
longest_consecutive,HASHMAP-EON,0,,,11376098.0,ns,14
longest_consecutive,HASHMAP-EON,0,,,12917623.0,ns,16
longest_consecutive,HASHMAP-EON,0,,,13800102.0,ns,18
longest_consecutive,HASHMAP-EON,0,,,15378899.0,ns,20
longest_consecutive,HASHMAP-EON,0,,,16845643.0,ns,22
longest_consecutive,HASHMAP-EON,0,,,18788012.0,ns,24
longest_consecutive,HASHMAP-EON,0,,,20255710.0,ns,26
longest_consecutive,HASHMAP-EON,0,,,21392861.0,ns,28
longest_consecutive,HASHMAP-EON,0,,,24048209.0,ns,30
longest_consecutive,HASHMAP-EON,0,,,26249142.0,ns,32
longest_consecutive,HASHMAP-EON,0,,,27792326.0,ns,34
longest_consecutive,HASHMAP-EON,0,,,29663940.0,ns,36
longest_consecutive,HASHMAP-EON,0,,,31313312.0,ns,38
longest_consecutive,HASHMAP-EON,0,,,32868335.0,ns,40
longest_consecutive,HASHMAP-EON,0,,,34763779.0,ns,42
longest_consecutive,HASHMAP-EON,0,,,36618962.0,ns,44
longest_consecutive,HASHMAP-EON,0,,,39108328.0,ns,46
longest_consecutive,HASHMAP-EON,0,,,39890484.0,ns,48
longest_consecutive,HASHMAP-EON,0,,,41619550.0,ns,50
longest_consecutive,HASHMAP-EON,0,,,40554640.0,ns,52
longest_consecutive,HASHMAP-EON,0,,,42450168.0,ns,54
longest_consecutive,HASHMAP-EON,0,,,45266783.0,ns,56
longest_consecutive,HASHMAP-EON,0,,,46915290.0,ns,58
longest_consecutive,HASHMAP-EON,0,,,46641909.0,ns,60
longest_consecutive,HASHMAP-EON,0,,,47715043.0,ns,62
longest_consecutive,HASHMAP-EON,0,,,50654220.0,ns,64
longest_consecutive,HASHMAP-EON,0,,,54310370.0,ns,66
longest_consecutive,HASHMAP-EON,0,,,54708852.0,ns,68
longest_consecutive,HASHMAP-EON,0,,,55947242.0,ns,70
longest_consecutive,HASHMAP-EON,0,,,56514468.0,ns,72
longest_consecutive,HASHMAP-EON,0,,,58713101.0,ns,74
longest_consecutive,HASHMAP-EON,0,,,62138445.0,ns,76
longest_consecutive,HASHMAP-EON,0,,,63504560.0,ns,78
longest_consecutive,HASHMAP-EON,0,,,62105204.0,ns,80
longest_consecutive,HASHMAP-EON,0,,,64606546.0,ns,82
longest_consecutive,HASHMAP-EON,0,,,69495406.0,ns,84
longest_consecutive,HASHMAP-EON,0,,,70834591.0,ns,86
longest_consecutive,HASHMAP-EON,0,,,67958166.0,ns,88
longest_consecutive,HASHMAP-EON,0,,,68389682.0,ns,90
longest_consecutive,HASHMAP-EON,0,,,70629530.0,ns,92
longest_consecutive,HASHMAP-EON,0,,,75583425.0,ns,94
longest_consecutive,HASHMAP-EON,0,,,76775502.0,ns,96
longest_consecutive,HASHMAP-EON,0,,,80496771.0,ns,98
longest_consecutive,HASHMAP-EON,0,,,80856917.0,ns,100
longest_consecutive,HASHMAP-EON,0,,,79132714.0,ns,102
longest_consecutive,HASHMAP-EON,0,,,81591954.0,ns,104
longest_consecutive,HASHMAP-EON,0,,,84586692.0,ns,106
longest_consecutive,HASHMAP-EON,0,,,86776042.0,ns,108
longest_consecutive,HASHMAP-EON,0,,,88916316.0,ns,110
longest_consecutive,HASHMAP-EON,0,,,86344937.0,ns,112
longest_consecutive,HASHMAP-EON,0,,,87772600.0,ns,114
longest_consecutive,HASHMAP-EON,0,,,88571507.0,ns,116
longest_consecutive,HASHMAP-EON,0,,,91389443.0,ns,118
longest_consecutive,HASHMAP-EON,0,,,93303090.0,ns,120
longest_consecutive,HASHMAP-EON,0,,,96713828.0,ns,122
longest_consecutive,HASHMAP-EON,0,,,95865846.0,ns,124
longest_consecutive,HASHMAP-EON,0,,,101164659.0,ns,126
longest_consecutive,HASHMAP-EON,0,,,101178067.0,ns,128
longest_consecutive,HASHMAP-EON,0,,,99881036.0,ns,130
longest_consecutive,HASHMAP-EON,0,,,100937496.0,ns,132
longest_consecutive,HASHMAP-EON,0,,,106100349.0,ns,134
longest_consecutive,HASHMAP-EON,0,,,107067591.0,ns,136
longest_consecutive,HASHMAP-EON,0,,,108327361.0,ns,138
longest_consecutive,HASHMAP-EON,0,,,108877373.0,ns,140
longest_consecutive,HASHMAP-EON,0,,,115280417.0,ns,142
longest_consecutive,HASHMAP-EON,0,,,112842901.0,ns,144
longest_consecutive,HASHMAP-EON,0,,,114815559.0,ns,146
longest_consecutive,HASHMAP-EON,0,,,115492244.0,ns,148
longest_consecutive,HASHMAP-EON,0,,,116477826.0,ns,150
longest_consecutive,HASHMAP-EON,0,,,117156352.0,ns,152
longest_consecutive,HASHMAP-EON,0,,,119069307.0,ns,154
longest_consecutive,HASHMAP-EON,0,,,121822564.0,ns,156
longest_consecutive,HASHMAP-EON,0,,,126189138.0,ns,158
longest_consecutive,HASHMAP-EON,0,,,130202466.0,ns,160
longest_consecutive,HASHMAP-EON,0,,,127305382.0,ns,162
longest_consecutive,HASHMAP-EON,0,,,133765098.0,ns,164
longest_consecutive,HASHMAP-EON,0,,,130380429.0,ns,166
longest_consecutive,HASHMAP-EON,0,,,131432879.0,ns,168
longest_consecutive,HASHMAP-EON,0,,,131367797.0,ns,170
longest_consecutive,HASHMAP-EON,0,,,137274060.0,ns,172
longest_consecutive,HASHMAP-EON,0,,,138101804.0,ns,174
longest_consecutive,HASHMAP-EON,0,,,134690814.0,ns,176
longest_consecutive,HASHMAP-EON,0,,,135886863.0,ns,178
longest_consecutive,HASHMAP-EON,0,,,138088025.0,ns,180
longest_consecutive,HASHMAP-EON,0,,,140914011.0,ns,182
